IDX,Name,Abb,Smiles,Level,Similarity,RamaPic
67,M221,,N[C@@H](CCc1ccc2c(c1)CCC2(F)F)C(=O)O,3,0.05814327,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M221.png
68,M200,,N[C@@H](CCc1c(F)c(F)c(C(F)(F)F)c(F)c1F)C(=O)O,3,0.056556082,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M200.png
69,M543,,O=C(O)CNCc1ccccc1,3,0.055503586,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M543.png
70,M388,Ala(cBu),N[C@@H](CC1CCC1)C(=O)O,3,0.054582904,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M388.png
71,M535,,N[C@@H](Cc1ccccc1OC(F)(F)F)C(=O)O,3,0.05303559,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M535.png
72,M568,,COC/C=C/CNCC(=O)O,3,0.051796157,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M568.png
73,M191,homoPhe(4-CF3-3-Cl),N[C@@H](CCc1ccc(C(F)(F)F)c(Cl)c1)C(=O)O,3,0.050933249,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M191.png
74,M61,Abu(4-F3),N[C@@H](CC(F)(F)F)C(=O)O,3,0.049963794,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M61.png
75,M220,,N[C@@H](CCc1ccc(C(F)(F)F)c(C2CC2)c1)C(=O)O,3,0.046752432,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M220.png
76,M161,"Phe(2-Cl,4-F)",N[C@@H](Cc1ccc(F)cc1Cl)C(=O)O,3,0.045980607,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M161.png
77,M152,Phe,N[C@@H](Cc1ccccc1)C(=O)O,3,0.045338208,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M152.png
78,M529,,CC(C)CC(N)C(=O)O,3,0.041550388,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M529.png
79,M201,Abu(5-Bzt),N[C@@H](CCc1ccc2sccc2c1)C(=O)O,3,0.037765293,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M201.png
80,M454,,N[C@@H](Cc1cc(F)ccc1F)C(=O)O,3,0.035198874,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M454.png
81,M237,,N[C@@H](CCc1cc(Cl)c2sccc2c1)C(=O)O,3,0.034460955,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M237.png
82,M159,"Phe(2,4-F2)",N[C@@H](Cc1ccc(F)cc1F)C(=O)O,3,0.034115139,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M159.png
83,M451,,N[C@@H](Cc1cncc(Br)c1)C(=O)O,3,0.033637221,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M451.png
84,M463,,N[C@@H](CCC1=CC(Cl)C(C(F)(F)F)C=C1)C(=O)O,3,0.032911392,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M463.png
85,M430,Phe(3-I),N[C@@H](Cc1cccc(I)c1)C(=O)O,3,0.032705297,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M430.png
86,M477,,N[C@@H](CCc1ccc2occc2c1)C(=O)O,3,0.030669145,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M477.png
87,M223,,N[C@@H](CCc1ccc(C2CC2)c(Cl)c1)C(=O)O,3,0.030135301,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M223.png
88,M206,"homoPhe(4-Cl-3,5F2)",N[C@@H](CCc1cc(F)c(Cl)c(F)c1)C(=O)O,3,0.030064913,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M206.png
89,M219,,N[C@@H](CCc1cc(F)c2c(c1)OCC2)C(=O)O,3,0.028244548,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M219.png
90,M563,,O=C(O)CNC/C=C/CCO,3,0.027611357,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M563.png
91,M431,homoPhe(3-Cl),N[C@@H](CCc1cccc(Cl)c1)C(=O)O,3,0.027509825,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M431.png
92,M234,,N[C@@H](CCc1cc(Cl)c(C(F)F)c(Cl)c1)C(=O)O,3,0.021094029,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M234.png
93,M195,homoPhe(4-CF3-3-F),N[C@@H](CCc1ccc(C(F)(F)F)c(F)c1)C(=O)O,3,0.020365896,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M195.png
94,M441,,NC(CCc1ccc(C(F)(F)F)c(Cl)c1)C(=O)O,3,0.020320856,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M441.png
95,M95,Dfe-Gly,O=C(O)CNCC(F)F,3,0.014125956,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M95.png
96,M497,,N[C@@H](CCc1cc(Cl)ccc1F)C(=O)O,3,0.012044047,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M497.png
97,M87,NCMe-Gly,N#CCNCC(=O)O,3,0.00733115,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M87.png
98,M303,cVal(3-Me2),CC1(C)CC(N)(C(=O)O)C1,3,0.002410365,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M303.png
99,M296,cVal,NC1(C(=O)O)CCC1,3,0.000590667,https://github.com/ivandon15/syn_data/raw/main/pics/pos5_M296.png
